No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
68,Digital CH,6.BM 3148,443.275,448.275,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BM 3148,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
69,Digital CH,6.Oklahoma,443.275,448.275,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Oklahoma,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
70,Digital CH,6.Metro,443.275,448.275,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
71,Digital CH,6.TC Metro,443.275,448.275,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
72,Digital CH,7.Worldwide,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
73,Digital CH,7.North Americ,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: North America,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
74,Digital CH,7.WWe,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
75,Digital CH,7.Metro,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
76,Digital CH,7.Local,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
77,Digital CH,7.TAC310,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
78,Digital CH,7.DCI Bridge,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
79,Digital CH,7.Texas,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
80,Digital CH,7.Parrot,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Parrot,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
81,Digital CH,7.Audio Test,441.3375,446.3375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Audio Test,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
82,Digital CH,8.Texas,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
83,Digital CH,8.Worldwide,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
84,Digital CH,8.North Americ,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: North America,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
85,Digital CH,8.WWe,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
86,Digital CH,8.TAC310,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
87,Digital CH,8.BronxTRBO,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BronxTRBO,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
88,Digital CH,8.Metro,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
89,Digital CH,8.S.Plains,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: S.Plains,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
90,Digital CH,8.DCI Bridge,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
91,Digital CH,8.BM 3148,440.6625,445.6625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BM 3148,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
92,Digital CH,9.Worldwide,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
93,Digital CH,9.Local,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
94,Digital CH,9.North Americ,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: North America,National,Priority Contacts: North America,Priority Contacts: WW English,Priority Contacts: TAC319,Priority Contacts: USA,Priority Contacts: Chicago 2,Priority Contacts: BM STX,Priority Contacts: Texas Nexus,Priority Contacts: Echo/IRLP,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,Priority Contacts: DCI Bridge,Priority Contacts: Allstar Link,Priority Contacts: BM NA,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
95,Digital CH,9.Tarrant Metr,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
96,Digital CH,9.WWe,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Worldwide,Priority Contacts: Worldwide,Priority Contacts: UAe 1,Priority Contacts: UAe 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: WW English,Priority Contacts: TAC1,Priority Contacts: BM WW,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
97,Digital CH,9.Texas,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
98,Digital CH,9.BM 3148,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BM 3148,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
99,Digital CH,9.Metro,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
100,Digital CH,9.S.Plains,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: S.Plains,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
101,Digital CH,9.Cactus,441.975,446.975,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Cactus,Regional,Priority Contacts: Allstar Link,Priority Contacts: MW Region,Priority Contacts: NE Region,Priority Contacts: SE Region,Priority Contacts: SE Region,Priority Contacts: SW Region,Priority Contacts: Mountain,Priority Contacts: S.Plains,Priority Contacts: Cactus,Priority Contacts: BM Call Area 5,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
102,Digital CH,10.Metro,443.45,448.45,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: Metro 2,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: SETexasEmComm,Priority Contacts: Chicago 1,Priority Contacts: BronxTRBO,Priority Contacts: Brazoria,Priority Contacts: Houston Metro,Priority Contacts: BM STX,Priority Contacts: NSX Local,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
103,Digital CH,10.Texas,443.45,448.45,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY-Mobile,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Statewide2,Priority Contacts: Mississippi,Priority Contacts: Missouri,Priority Contacts: Montana,Priority Contacts: Nebraska,Priority Contacts: Nevada,Priority Contacts: New Hampshire,Priority Contacts: New Jersey,Priority Contacts: New Mexico,Priority Contacts: New York,Priority Contacts: North Carolina,Priority Contacts: North Dakota,Priority Contacts: Ohio,Priority Contacts: Oklahoma,Priority Contacts: Oregon,Priority Contacts: Pennsylvania,Priority Contacts: Rhode Island,Priority Contacts: South Carolina,Priority Contacts: South Dakota,Priority Contacts: Tennessee,Priority Contacts: Texas,Priority Contacts: Utah,Priority Contacts: Vermont,Priority Contacts: Virginia,Priority Contacts: Washington,Priority Contacts: West Virginia,Priority Contacts: Wisconsin,Priority Contacts: Wyoming,Priority Contacts: Texas Nexus,Priority Contacts: BM 3148,,,,,No,No,No,OFF,TX Contact
